17:27:00 - {'license_plate': '1DKH682', 'time in': '17:27:00', 'time_out': None, 'status': 'In'}
17:27:02 - {'license_plate': '1DKH682', 'time in': '17:27:00', 'time_out': '17:27:02', 'status': 'Out'}
17:51:18 - {'license_plate': '1DKH682', 'time in': '17:51:18', 'time_out': None, 'status': 'In'}
17:51:20 - {'license_plate': '1DKH682', 'time in': '17:51:18', 'time_out': '17:51:20', 'status': 'Out'}
09:32:16 - {'license_plate': '1DKH682', 'time in': '09:32:16', 'time_out': None, 'status': 'In'}
09:32:19 - {'license_plate': '1DKH682', 'time in': '09:32:16', 'time_out': '09:32:19', 'status': 'Out'}
14:04:43 - {'license_plate': '1DKH682', 'time in': '14:04:43', 'time_out': None, 'status': 'In'}
14:04:45 - {'license_plate': '1DKH682', 'time in': '14:04:43', 'time_out': '14:04:45', 'status': 'Out'}
14:15:21 - {'license_plate': '1DKH682', 'time in': '14:15:21', 'time_out': None, 'status': 'In'}
14:15:23 - {'license_plate': '1DKH682', 'time in': '14:15:21', 'time_out': '14:15:23', 'status': 'Out'}
14:15:40 - {'license_plate': '1ALS819', 'time in': None, 'time_out': None, 'status': 'Out'}
14:16:37 - {'license_plate': '1DKH682', 'time in': '14:16:37', 'time_out': None, 'status': 'In'}
14:16:39 - {'license_plate': '1DKH682', 'time in': '14:16:37', 'time_out': '14:16:39', 'status': 'Out'}
14:19:33 - {'license_plate': '1DKH682', 'time in': '14:19:33', 'time_out': None, 'status': 'In'}
14:19:35 - {'license_plate': '1DKH682', 'time in': '14:19:33', 'time_out': '14:19:35', 'status': 'Out'}
14:30:05 - {'license_plate': '1DKH682', 'time in': '14:30:05', 'time_out': None, 'status': 'In'}
14:30:07 - {'license_plate': '1DKH682', 'time in': '14:30:05', 'time_out': '14:30:07', 'status': 'Out'}
14:30:12 - {'license_plate': '1ALS819', 'time in': None, 'time_out': None, 'status': 'Out'}
14:31:34 - {'license_plate': 'LICENCE', 'time in': None, 'time_out': None, 'status': 'Out'}
14:31:34 - {'license_plate': 'LICENCE', 'time in': None, 'time_out': None, 'status': 'Out'}
14:32:12 - {'license_plate': 'LICENCE', 'time in': None, 'time_out': None, 'status': 'Out'}
14:32:12 - {'license_plate': 'LICENCE', 'time in': None, 'time_out': None, 'status': 'Out'}
14:34:55 - {'license_plate': 'LICENCE', 'time in': None, 'time_out': None, 'status': 'Out'}
14:34:55 - {'license_plate': 'LICENCE', 'time in': None, 'time_out': None, 'status': 'Out'}
14:35:05 - {'license_plate': 'LICENCE', 'time in': None, 'time_out': None, 'status': 'Out'}
14:35:05 - {'license_plate': 'LICENCE', 'time in': None, 'time_out': None, 'status': 'Out'}
14:38:07 - {'license_plate': 'LICENCE', 'time in': None, 'time_out': None, 'status': 'Out'}
14:38:07 - {'license_plate': 'LICENCE', 'time in': None, 'time_out': None, 'status': 'Out'}
14:38:07 - {'license_plate': 'LICENCE', 'time in': None, 'time_out': None, 'status': 'Out'}
14:38:07 - {'license_plate': 'LICENCE', 'time in': None, 'time_out': None, 'status': 'Out'}
