2025-11-21--12:17:31 - {'license_plate': '1DKH678', 'time_in': '12:17:31', 'time_out': None, 'status': 'In', 'date_in': '2025-11-21', 'date_out': None}
2025-11-21--12:17:45 - {'license_plate': '1CPM214', 'time_in': '12:17:45', 'time_out': None, 'status': 'In', 'date_in': '2025-11-21', 'date_out': None}
2025-11-21--12:17:52 - {'license_plate': '1ALS820', 'time_in': '12:17:52', 'time_out': None, 'status': 'In', 'date_in': '2025-11-21', 'date_out': None}
2025-11-21--12:17:59 - {'license_plate': '1ALS819', 'time_in': '12:17:59', 'time_out': None, 'status': 'In', 'date_in': '2025-11-21', 'date_out': None}
2025-11-21--12:18:45 - {'license_plate': '1DKH678', 'time_in': '12:17:31', 'time_out': '12:18:45', 'status': 'Out', 'date_in': '2025-11-21', 'date_out': '2025-11-21'}
2025-11-21--12:18:54 - {'license_plate': '1CPM214', 'time_in': '12:17:45', 'time_out': '12:18:54', 'status': 'Out', 'date_in': '2025-11-21', 'date_out': '2025-11-21'}
2025-11-21--12:19:02 - {'license_plate': '1ALS820', 'time_in': '12:17:52', 'time_out': '12:19:02', 'status': 'Out', 'date_in': '2025-11-21', 'date_out': '2025-11-21'}
2025-11-21--12:19:11 - {'license_plate': '1ALS819', 'time_in': '12:17:59', 'time_out': '12:19:11', 'status': 'Out', 'date_in': '2025-11-21', 'date_out': '2025-11-21'}
2025-11-21--12:19:26 - {'license_plate': '1DKH678', 'time_in': '12:19:26', 'time_out': None, 'status': 'In', 'date_in': '2025-11-21', 'date_out': None}
2025-11-21--12:19:32 - {'license_plate': '1DKH678', 'time_in': '12:19:26', 'time_out': '12:19:32', 'status': 'Out', 'date_in': '2025-11-21', 'date_out': '2025-11-21'}
2025-11-21--12:19:40 - {'license_plate': '1DKH679', 'time_in': 'N/A', 'time_out': '12:19:40', 'status': 'Out', 'date_in': 'N/A', 'date_out': '2025-11-21'}
2025-11-21--12:19:44 - {'license_plate': '1DKH679', 'time_in': '12:19:44', 'time_out': None, 'status': 'In', 'date_in': '2025-11-21', 'date_out': None}
2025-11-21--12:19:45 - {'license_plate': '1DKH679', 'time_in': '12:19:44', 'time_out': '12:19:45', 'status': 'Out', 'date_in': '2025-11-21', 'date_out': '2025-11-21'}
